adm0	country	adm1	ISO
Chad	Chad	Bahr_El_Gazel	TCD
Seychelles	Seychelles	Baie_Lazar	SYC
Seychelles	Seychelles	Baie_Saint	SYC
Nauru	Nauru	Baitsi	NRU
Mexico	Mexico	Baja_California	MEX
Mexico	Mexico	Baja_California_Sur	MEX
Guatemala	Guatemala	Baja_Verapaz	GTM
Somalia	Somalia	Bakool	SOM
Spain	Spain	Balear_Islands	ESP
Indonesia	Indonesia	Bali	IDN
Turkmenistan	Turkmenistan	Balkan_Region	TKM
Afghanistan	Afghanistan	Balkh	AFG
Pakistan	Pakistan	Balochistan	PAK
Jordan	Jordan	Balqa	JOR
Liechtenstein	Liechtenstein	Balzers	LIE
Mali	Mali	Bamako	MLI
Central_African_Republic	Central_African_Republic	Bamingui_Bangoran	CAF
Afghanistan	Afghanistan	Bamyan	AFG
Somalia	Somalia	Banadir	SOM
Mayotte	Mayotte	Bandraboua	MYT
Mayotte	Mayotte	Bandrele	MYT
Indonesia	Indonesia	Bangka_Belitung_Islands	IDN
Thailand	Thailand	Bangkok	THA
Central_African_Republic	Central_African_Republic	Bangui	CAF
Gambia	Gambia	Banjul	GMB
Slovakia	Slovakia	Banska_Bystrica	SVK
Indonesia	Indonesia	Banten	IDN
Cambodia	Cambodia	Bantey_Meanchey	KHM
Dominican_Republic	Dominican_Republic	Baoruco	DOM
Dominican_Republic	Dominican_Republic	Barahona	DOM
Hungary	Hungary	Baranya	HUN
Antigua_And_Barbuda	Antigua_And_Barbuda	Barbuda	ATG
Somalia	Somalia	Bari	SOM
Guyana	Guyana	Barina_Waini	GUY
Venezuela	Venezuela	Barinas	VEN
Kenya	Kenya	Baringo	KEN
Bangladesh	Bangladesh	Barisal	BGD
Guam	Guam	Barrigada	GUM
Cote_D'Ivoire	Cote_D'Ivoire	Bas_Sassandra	CIV
Switzerland	Switzerland	Basel_Landschaft	CHE
Switzerland	Switzerland	Basel_Stadt	CHE
Russia	Russia	Bashkortostan	RUS
Italy	Italy	Basilicata	ITA
Spain	Spain	Basque_Country	ESP
Iraq	Iraq	Basra	IRQ
Gambia	Gambia	Basse	GMB
Central_African_Republic	Central_African_Republic	Basse_Kotto	CAF
Guadeloupe	Guadeloupe	Basse_Terre	GLP
Chad	Chad	Batha	TCD
Kyrgyzstan	Kyrgyzstan	Batken_Region	KGZ
Algeria	Algeria	Batna	DZA
Cambodia	Cambodia	Battambang	KHM
Timor_Leste	Timor_Leste	Baucau	TLS
Nigeria	Nigeria	Bauchi	NGA
Germany	Germany	Bavaria	DEU
Somalia	Somalia	Bay	SOM
Honduras	Honduras	Bay_Islands	HND
New_Zealand	New_Zealand	Bay_Of_Plenty	NZL
Mongolia	Mongolia	Bayan_Olgii	MNG
Mongolia	Mongolia	Bayankhongor	MNG
Nigeria	Nigeria	Bayelsa	NGA
Seychelles	Seychelles	Beau_Vallo	SYC
Algeria	Algeria	Bechar	DZA
Egypt	Egypt	Beheira	EGY
China	China	Beijing	CHN
Lebanon	Lebanon	Beirut_Governorate	LBN
Portugal	Portugal	Beja	PRT
Algeria	Algeria	Bejaia	DZA
Hungary	Hungary	Bekes	HUN
Seychelles	Seychelles	Bel_Air	SYC
Seychelles	Seychelles	Bel_Ombre	SYC
Brunei	Brunei	Belait	BRN
Russia	Russia	Belgorod	RUS
Serbia	Serbia	Belgrade	SRB
Belize	Belize	Belize_District	BLZ
Tunisia	Tunisia	Ben_Arous	TUN
Vietnam	Vietnam	Ben_Tre	VNM
Moldova	Moldova	Bender	MDA
Ethiopia	Ethiopia	Beneshangul_Gumu	ETH
Libya	Libya	Benghazi	LBY
Indonesia	Indonesia	Bengkulu	IDN
Angola	Angola	Bengo	AGO
Angola	Angola	Benguela	AGO
Bolivia	Bolivia	Beni	BOL
Morocco	Morocco	Beni_Mellal_Khenifra	MAR
Egypt	Egypt	Beni_Suef	EGY
Nigeria	Nigeria	Benue	NGA
Lebanon	Lebanon	Beqaa_Governorate	LBN
Albania	Albania	Berat_County	ALB
Lesotho	Lesotho	Berea_District	LSO
Germany	Germany	Berlin	DEU
Switzerland	Switzerland	Bern	CHE
Bahamas	Bahamas	Berry_Islands	BHS
Madagascar	Madagascar	Betsiboka	MDG
Angola	Angola	Bie	AGO
India	India	Bihar	IND
Romania	Romania	Bihor	ROU
Bahamas	Bahamas	Bimini	BHS
Vietnam	Vietnam	Binh_Dinh	VNM
Vietnam	Vietnam	Binh_Duong	VNM
Vietnam	Vietnam	Binh_Phuoc	VNM
Vietnam	Vietnam	Binh_Thuan	VNM
Chile	Chile	Biobio	CHL
Equatorial_Guinea	Equatorial_Guinea	Bioko_Norte	GNQ
Equatorial_Guinea	Equatorial_Guinea	Bioko_Sur	GNQ
Guinea_Bissau	Guinea_Bissau	Biombo	GNB
Algeria	Algeria	Biskra	DZA
Guinea_Bissau	Guinea_Bissau	Bissau	GNB
Romania	Romania	Bistrita_Nasaud	ROU
Tunisia	Tunisia	Bizerte	TUN
Croatia	Croatia	Bjelovar_Bilogora	HRV
Bahamas	Bahamas	Black_Point	BHS
Mauritius	Mauritius	Black_River	MUS
Bulgaria	Bulgaria	Blagoevgrad	BGR
Sweden	Sweden	Blekinge	SWE
Algeria	Algeria	Blida	DZA
Sudan	Sudan	Blue_Nile_State	SDN
Cabo_Verde	Cabo_Verde	Boa_Vista	CPV
Nicaragua	Nicaragua	Boaco	NIC
Timor_Leste	Timor_Leste	Bobonaro	TLS
Cayman_Islands	Cayman_Islands	Bodden_Town	CYM
Nauru	Nauru	Boe	NRU
Madagascar	Madagascar	Boeny	MDG
Colombia	Colombia	Bogota_Capital_District	COL
Guinea	Guinea	Boke	GIN
Lao	Lao	Bokeo	LAO
Guinea_Bissau	Guinea_Bissau	Bolama	GNB
Lao	Lao	Bolikhamsai	LAO
Venezuela	Venezuela	Bolivar	VEN
Kenya	Kenya	Bomet	KEN
Liberia	Liberia	Bomi	LBR
Bonaire,_Sint_Eustatius_And_Saba	Bonaire,_Sint_Eustatius_And_Saba	Bonaire	BES
Liberia	Liberia	Bong	LBR
Madagascar	Madagascar	Bongolava	MDG
Paraguay	Paraguay	Boqueron	PRY
Serbia	Serbia	Bor_District	SRB
Algeria	Algeria	Bordj_Bou_Arreridj	DZA
San_Marino	San_Marino	Borgo_Maggiore	SMR
Benin	Benin	Borgou	BEN
Chad	Chad	Borkou	TCD
Nigeria	Nigeria	Borno	NGA
Hungary	Hungary	Borsod_Abauj_Zemplen	HUN
Romania	Romania	Botosani	ROU
Burkina_Faso	Burkina_Faso	Boucle_Du_Mouhoun	BFA
Mayotte	Mayotte	Boueni	MYT
Republic_Of_The_Congo	Republic_Of_The_Congo	Bouenza	COG
Papua_New_Guinea	Papua_New_Guinea	Bougainville	PNG
Algeria	Algeria	Bouira	DZA
Algeria	Algeria	Boumerdes	DZA
France	France	Bourgogne_Franche_Comte	FRA
Colombia	Colombia	Boyaca	COL
Portugal	Portugal	Braga	PRT
Portugal	Portugal	Braganca	PRT
Romania	Romania	Braila	ROU
Mauritania	Mauritania	Brakna	MRT
Germany	Germany	Brandenburg	DEU
Serbia	Serbia	Branicevo_District	SRB
Romania	Romania	Brasov	ROU
Slovakia	Slovakia	Bratislava	SVK
Cabo_Verde	Cabo_Verde	Brava	CPV
Republic_Of_The_Congo	Republic_Of_The_Congo	Brazzaville	COG
Bosnia_And_Herzegovina	Bosnia_And_Herzegovina	Brcko_District_Of_Bosnia_And_Herzegowina	BIH
Germany	Germany	Bremen	DEU
Belarus	Belarus	Brest_Region	BLR
France	France	Bretagne	FRA
Moldova	Moldova	Briceni_District	MDA
Gambia	Gambia	Brikama	GMB
Canada	Canada	British_Columbia	CAN
Croatia	Croatia	Brod_Posavina	HRV
Suriname	Suriname	Brokopondo	SUR
Ghana	Ghana	Brong_Ahafo	GHA
Brunei	Brunei	Brunei_Muara	BRN
Belgium	Belgium	Brussels	BEL
Russia	Russia	Bryansk	RUS
Nauru	Nauru	Buada	NRU
Burundi	Burundi	Bubanza	BDI
Romania	Romania	Bucharest	ROU
Hungary	Hungary	Budapest	HUN
Thailand	Thailand	Bueng_Kan_Province	THA
Argentina	Argentina	Buenos_Aires	ARG
Burundi	Burundi	Bujumbura_Mairie	BDI
Burundi	Burundi	Bujumbura_Rural	BDI
Uzbekistan	Uzbekistan	Bukhara_Region	UZB
Zimbabwe	Zimbabwe	Bulawayo	ZWE
Mongolia	Mongolia	Bulgan	MNG
Bhutan	Bhutan	Bumthang_District	BTN
Kenya	Kenya	Bungoma	KEN
Bulgaria	Bulgaria	Burgas	BGR
Austria	Austria	Burgenland	AUT
Thailand	Thailand	Buri_Ram_Province	THA
Burundi	Burundi	Bururi	BDI
Russia	Russia	Buryatia	RUS
South_Korea	South_Korea	Busan	KOR
Iran	Iran	Bushehr	IRN
Kenya	Kenya	Busia	KEN
Lesotho	Lesotho	Butha_Buthe_District	LSO
Libya	Libya	Butnan	LBY
Romania	Romania	Buzau	ROU
Vietnam	Vietnam	Ca_Mau	VNM
Ecuador	Ecuador	Caa'Ar	ECU
Paraguay	Paraguay	Caaguazu	PRY
Paraguay	Paraguay	Caazapa	PRY
El_Salvador	El_Salvador	Cabanas	SLV
Angola	Angola	Cabinda	AGO
Mozambique	Mozambique	Cabo_Delgado	MOZ
Guinea_Bissau	Guinea_Bissau	Cacheu	GNB
Egypt	Egypt	Cairo	EGY
Peru	Peru	Cajamarca	PER
Italy	Italy	Calabria	ITA
Romania	Romania	Calarasi	ROU
Colombia	Colombia	Caldas	COL
USA	USA	California	USA
Peru	Peru	Callao	PER
Cuba	Cuba	Camaguey	CUB
Italy	Italy	Campania	ITA
Mexico	Mexico	Campeche	MEX
Vietnam	Vietnam	Can_Tho	VNM
Saint_Lucia	Saint_Lucia	Canaries	LCA
Spain	Spain	Canary_Islands	ESP
Uruguay	Uruguay	Canelones	URY
Andorra	Andorra	Canillo	AND
Paraguay	Paraguay	Canindeyu	PRY
Burundi	Burundi	Cankuzo	BDI
Spain	Spain	Cantabria	ESP
New_Zealand	New_Zealand	Canterbury	NZL
Luxembourg	Luxembourg	Canton_Capellen	LUX
Luxembourg	Luxembourg	Canton_Clervaux	LUX
Luxembourg	Luxembourg	Canton_Diekirch	LUX
Luxembourg	Luxembourg	Canton_Echternach	LUX
Luxembourg	Luxembourg	Canton_Esch_Sur_Alzette	LUX
Luxembourg	Luxembourg	Canton_Grevenmacher	LUX
Luxembourg	Luxembourg	Canton_Luxembourg	LUX
Luxembourg	Luxembourg	Canton_Mersch	LUX
Luxembourg	Luxembourg	Canton_Redange	LUX
Luxembourg	Luxembourg	Canton_Remich	LUX
Luxembourg	Luxembourg	Canton_Vianden	LUX
Luxembourg	Luxembourg	Canton_Wiltz	LUX
Vietnam	Vietnam	Cao_Bang	VNM
Bahrain	Bahrain	Capital_Governorate	BHR
Iceland	Iceland	Capital_Region	ISL
Solomon_Islands	Solomon_Islands	Capital_Territory	SLB
Colombia	Colombia	Caqueta	COL
Venezuela	Venezuela	Carabobo	VEN
Romania	Romania	Caras_Severin	ROU
Nicaragua	Nicaragua	Carazo	NIC
Ecuador	Ecuador	Carchi	ECU
Austria	Austria	Carinthia	AUT
Ireland	Ireland	Carlow	IRL
Morocco	Morocco	Casablanca_Settat	MAR
Colombia	Colombia	Casanare	COL
Seychelles	Seychelles	Cascade	SYC
Burkina_Faso	Burkina_Faso	Cascades	BFA
Portugal	Portugal	Castelo_Branco	PRT
Spain	Spain	Castilla_La_Mancha	ESP
Spain	Spain	Castilla_Y_Leon	ESP
Saint_Lucia	Saint_Lucia	Castries	LCA
Bahamas	Bahamas	Cat_Island	BHS
Spain	Spain	Catalunya	ESP
Argentina	Argentina	Catamarca	ARG
Colombia	Colombia	Cauca	COL
Ireland	Ireland	Cavan	IRL
French_Guiana	French_Guiana	Cayenne	GUF
Cayman_Islands	Cayman_Islands	Cayman_Brac	CYM
Belize	Belize	Cayo	BLZ
Brazil	Brazil	Ceara	BRA
Israel	Israel	Center	ISR
Fiji	Fiji	Central	FJI
Bahamas	Bahamas	Central_Abaco	BHS
Bahamas	Bahamas	Central_Andros	BHS
Serbia	Serbia	Central_Banat_District	SRB
Sudan	Sudan	Central_Darfur	SDN
Botswana	Botswana	Central_District	BWA
Bahamas	Bahamas	Central_Eleuthera	BHS
South_Sudan	South_Sudan	Central_Equatoria	SSD
Finland	Finland	Central_Finland	FIN
Indonesia	Indonesia	Central_Java	IDN
Indonesia	Indonesia	Central_Kalimantan	IDN
DRC	DRC	Central_Kasai	COD
Solomon_Islands	Solomon_Islands	Central_Province	SLB
Malawi	Malawi	Central_Region	MWI
Indonesia	Indonesia	Central_Sulawesi	IDN
Togo	Togo	Centrale_Region	TGO
Burkina_Faso	Burkina_Faso	Centre	BFA
Haiti	Haiti	Centre_Department	HTI
Burkina_Faso	Burkina_Faso	Centre_Est	BFA
Burkina_Faso	Burkina_Faso	Centre_Nord	BFA
Burkina_Faso	Burkina_Faso	Centre_Ouest	BFA
Burkina_Faso	Burkina_Faso	Centre_Sud	BFA
France	France	Centre_Val_De_Loire	FRA
Equatorial_Guinea	Equatorial_Guinea	Centro_Sur_Province	GNQ
Uruguay	Uruguay	Cerro_Largo	URY
Colombia	Colombia	Cesar	COL
Thailand	Thailand	Chachoengsao_Province	THA
Argentina	Argentina	Chaco	ARG
North_Korea	North_Korea	Chagang	PRK
Trinidad_And_Tobago	Trinidad_And_Tobago	Chaguanas	TTO
Iran	Iran	Chaharmahal_And_Bakhtiari	IRN
Thailand	Thailand	Chai_Nat_Province	THA
Thailand	Thailand	Chaiyaphum_Province	THA
Guam	Guam	Chalan_Pago_Ordot	GUM
El_Salvador	El_Salvador	Chalatenango	SLV
Lao	Lao	Champasak	LAO
India	India	Chandigarh	IND
Taiwan	Taiwan	Changhua_County	TWN
Thailand	Thailand	Chanthaburi_Province	THA
Chad	Chad	Chari_Baguirmi	TCD
Saint_Vincent_And_Grenadines	Saint_Vincent_And_Grenadines	Charlotte	VCT
New_Zealand	New_Zealand	Chatham_Islands_Territory	NZL
Russia	Russia	Chechnya	RUS
Russia	Russia	Chelyabinsk	RUS
Crimea	Crimea	Cherkasy_Oblast	UKR
Crimea	Crimea	Chernihiv_Oblast	UKR
Crimea	Crimea	Chernivtsi_Oblast	UKR
India	India	Chhattisgarh	IND
Thailand	Thailand	Chiang_Mai_Province	THA
Thailand	Thailand	Chiang_Rai_Province	THA
Mexico	Mexico	Chiapas	MEX
Taiwan	Taiwan	Chiayi	TWN
Taiwan	Taiwan	Chiayi_County	TWN
Japan	Japan	Chiba	JPN
Mayotte	Mayotte	Chiconi	MYT
San_Marino	San_Marino	Chiesanuova	SMR
Mexico	Mexico	Chihuahua	MEX
Guatemala	Guatemala	Chimaltenango	GTM
Ecuador	Ecuador	Chimborazo	ECU
Myanmar	Myanmar	Chin	MMR
Nicaragua	Nicaragua	Chinandega	NIC
Guatemala	Guatemala	Chiquimula	GTM
Mayotte	Mayotte	Chirongui	MYT
Bangladesh	Bangladesh	Chittagong	BGD
Algeria	Algeria	Chlef	DZA
Botswana	Botswana	Chobe_District	BWA
Colombia	Colombia	Choco	COL
Saint_Lucia	Saint_Lucia	Choiseul	LCA
Solomon_Islands	Solomon_Islands	Choiseul_Province	SLB
Honduras	Honduras	Choluteca	HND
Thailand	Thailand	Chon_Buri_Province	THA
China	China	Chongqing	CHN
Nicaragua	Nicaragua	Chontales	NIC
Barbados	Barbados	Christ_Church	BRB
Saint_Kitts_And_Nevis	Saint_Kitts_And_Nevis	Christ_Church_Nichola_Town	KNA
Argentina	Argentina	Chubut	ARG
Bhutan	Bhutan	Chukha_District	BTN
Russia	Russia	Chukotka_Autonomous_Okrug	RUS
Thailand	Thailand	Chumphon_Province	THA
South_Korea	South_Korea	Chungcheongbuk_Do	KOR
South_Korea	South_Korea	Chungcheongnam_Do	KOR
Bolivia	Bolivia	Chuquisaca	BOL
Federated_States_Of_Micronesia	Federated_States_Of_Micronesia	Chuuk	FSM
Russia	Russia	Chuvashia	RUS
Kyrgyzstan	Kyrgyzstan	Chuy_Region	KGZ
Burundi	Burundi	Cibitoke	BDI
Cuba	Cuba	Ciego_De_Avila	CUB
Cuba	Cuba	Cienfuegos	CUB
San_Marino	San_Marino	Citta_Di_San_Marino	SMR
Bahamas	Bahamas	City_Of_Freeport	BHS
Argentina	Argentina	Ciudad_Autonoma_De_Buenos_Aires	ARG
Spain	Spain	Ciudad_Autonoma_De_Ceuta	ESP
Ireland	Ireland	Clare	IRL
Jamaica	Jamaica	Clarendon	JAM
Romania	Romania	Cluj	ROU
Mexico	Mexico	Coahuila	MEX
Bolivia	Bolivia	Cochabamba	BOL
Portugal	Portugal	Coimbra	PRT
Venezuela	Venezuela	Cojedes	VEN
Mexico	Mexico	Colima	MEX
Benin	Benin	Collines	BEN
Honduras	Honduras	Colon	HND
Panama	Panama	Colon_Province	PAN
Uruguay	Uruguay	Colonia	URY
USA	USA	Colorado	USA
Panama	Panama	Comarca_Embera_Wounaan	PAN
Panama	Panama	Comarca_Guna_Yala	PAN
Panama	Panama	Comarca_Ngabe_Bugle	PAN
Honduras	Honduras	Comayagua	HND
Suriname	Suriname	Commewijne	SUR
USA	USA	Commonwealth_Of_The_Northern_Mariana_Islands	USA
Cote_D'Ivoire	Cote_D'Ivoire	Comoe	CIV
Spain	Spain	Comunitat_Valenciana	ESP
Guinea	Guinea	Conakry	GIN
